
Drug_	Count	1948
Drug_	Freq [0]	('warfarin', 49)
Drug_	Freq [1]	('digoxin', 38)
Drug_	Freq [2]	('valdecoxib', 35)
Drug_	Freq [3]	('fluconazole', 33)
Drug_	Freq [4]	('indinavir', 32)
Drug_	Freq [5]	('theophylline', 29)
Drug_	Freq [6]	('cisapride', 29)
Drug_	Freq [7]	('ketoconazole', 27)
Drug_	Freq [8]	('lithium', 26)
Drug_	Freq [9]	('cyclosporine', 25)
Drug_	Freq [10]	('phenytoin', 25)
Drug_	Freq [11]	('aripiprazole', 24)
Drug_	Freq [12]	('cimetidine', 20)
Drug_	Freq [13]	('isradipine', 20)
Drug_	Freq [14]	('efavirenz', 20)
Drug_	Freq [15]	('enoxacin', 17)
Drug_	Freq [16]	('rifampin', 16)
Drug_	Freq [17]	('glyburide', 16)
Drug_	Freq [18]	('alcohol', 15)
Drug_	Freq [19]	('diltiazem', 15)
Drug_	False Negative	84
Drug_	FN [0]	montelukast
Drug_	FN [1]	docetaxel
Drug_	FN [2]	panobinostat
Drug_	FN [3]	nonheme
Drug_	FN [4]	heme
Drug_	FN [5]	PHENYTOIN
Drug_	FN [6]	carvedilol
Drug_	FN [7]	METH
Drug_	FN [8]	orlistat
Drug_	FN [9]	retapamulin
Drug_	FN [10]	glucose
Drug_	FN [11]	bepridil
Drug_	FN [12]	iodine
Drug_	FN [13]	Montelukast
Drug_	FN [14]	DISULFIRAM
Drug_	FN [15]	enalaprilat
Drug_	FN [16]	PAH
Drug_	FN [17]	methylergonovine
Drug_	FN [18]	III
Drug_	FN [19]	fibrinogen
Drug_	FN [20]	Panobinostat
Drug_	FN [21]	Tadalafil
Drug_	FN [22]	antihistamines
Drug_	FN [23]	Charcoal
Drug_	FN [24]	activated
Drug_	FN [25]	charcoal
Drug_	FN [26]	nandrolone
Drug_	FN [27]	stanozolol
Drug_	FN [28]	Dantrolene
Drug_	FN [29]	Divalproex
Drug_	FN [30]	Gold
Drug_	FN [31]	Theobromine
Drug_	FN [32]	Sodium
Drug_	FN [33]	HYDROXYZINE
Drug_	FN [34]	dinoprost
Drug_	FN [35]	nitrogen
Drug_	FN [36]	mustard
Drug_	FN [37]	Antihistamines
Drug_	FN [38]	thyroxine
Drug_	FN [39]	TMP
Drug_	FN [40]	SMX
Drug_	FN [41]	suprofen
Drug_	FN [42]	nitrates
Drug_	FN [43]	Antiarrhythmic
Drug_	FN [44]	agents
Drug_	FN [45]	,
Drug_	FN [46]	class
Drug_	FN [47]	I
Drug_	FN [48]	LBH589
Drug_	FN [49]	human
Drug_	FN [50]	Ticagrelor
Drug_	FN [51]	ticagrelor
Drug_	FN [52]	prasugrel
Drug_	FN [53]	Clopidogrel
Drug_	FN [54]	lopinavir
Drug_	FN [55]	Progesterone
Drug_	FN [56]	progesterone
Drug_	FN [57]	beta-blocking
Drug_	FN [58]	salicylate
Drug_	FN [59]	E
Drug_	FN [60]	acetate
Drug_	FN [61]	nitrite
Drug_	FN [62]	iodide
Drug_	FN [63]	I131
Drug_	FN [64]	CNS
Drug_	FN [65]	depressants
